"","nc","delta1","delta2","pow2","pow1","ess"
"1",5,0,0,0.764064,0.1,102.254045422854
"2",5,0,0.02,0.851453,0.27,102.256834582783
"3",5,0,0.04,0.919968,0.5,102.462036632523
"4",5,0,0.06,0.961405,0.79,102.363788921963
"5",5,0,0.08,0.984039,0.91,102.213608513578
"6",5,0,0.1,0.994021,0.97,101.209544882073
"7",5,0,0.12,0.998014,1,100.930101738698
"8",5,0,0.14,0.999385,1,100.06328823104
"9",5,0,0.16,0.999827,1,98.5684427635555
"10",5,0,0.18,0.999933,1,96.9521706410472
"11",5,0,0.2,0.999983,1,94.7383995142579
"12",5,0.02,0,0.698901,0.03,102.254045422854
"13",5,0.02,0.02,0.759404,0.1,102.256834582783
"14",5,0.02,0.04,0.847132,0.24,102.462036632523
"15",5,0.02,0.06,0.917114,0.49,102.363788921963
"16",5,0.02,0.08,0.959508,0.77,102.213608513578
"17",5,0.02,0.1,0.983192,0.91,101.209544882073
"18",5,0.02,0.12,0.993674,0.97,100.930101738698
"19",5,0.02,0.14,0.997786,1,100.06328823104
"20",5,0.02,0.16,0.999329,1,98.5684427635555
"21",5,0.02,0.18,0.999794,1,96.9521706410472
"22",5,0.02,0.2,0.999932,1,94.7383995142579
"23",5,0.04,0,0.713648,0.03,102.254045422854
"24",5,0.04,0.02,0.697507,0.03,102.256834582783
"25",5,0.04,0.04,0.755509,0.1,102.462036632523
"26",5,0.04,0.06,0.842328,0.22,102.363788921963
"27",5,0.04,0.08,0.914092,0.48,102.213608513578
"28",5,0.04,0.1,0.957763,0.75,101.209544882073
"29",5,0.04,0.12,0.982136,0.9,100.930101738698
"30",5,0.04,0.14,0.993121,0.97,100.06328823104
"31",5,0.04,0.16,0.997632,0.99,98.5684427635555
"32",5,0.04,0.18,0.999225,1,96.9521706410472
"33",5,0.04,0.2,0.99976,1,94.7383995142579
"34",5,0.06,0,0.786062,0.14,102.254045422854
"35",5,0.06,0.02,0.716755,0.03,102.256834582783
"36",5,0.06,0.04,0.696757,0.03,102.462036632523
"37",5,0.06,0.06,0.751125,0.1,102.363788921963
"38",5,0.06,0.08,0.836925,0.21,102.213608513578
"39",5,0.06,0.1,0.910342,0.45,101.209544882073
"40",5,0.06,0.12,0.955463,0.73,100.930101738698
"41",5,0.06,0.14,0.98082,0.89,100.06328823104
"42",5,0.06,0.16,0.992623,0.97,98.5684427635555
"43",5,0.06,0.18,0.997323,0.99,96.9521706410472
"44",5,0.06,0.2,0.999077,1,94.7383995142579
"45",5,0.08,0,0.86921,0.39,102.254045422854
"46",5,0.08,0.02,0.790187,0.15,102.256834582783
"47",5,0.08,0.04,0.719678,0.03,102.462036632523
"48",5,0.08,0.06,0.695557,0.02,102.363788921963
"49",5,0.08,0.08,0.747467,0.09,102.213608513578
"50",5,0.08,0.1,0.831503,0.21,101.209544882073
"51",5,0.08,0.12,0.906892,0.45,100.930101738698
"52",5,0.08,0.14,0.952924,0.72,100.06328823104
"53",5,0.08,0.16,0.97965,0.88,98.5684427635555
"54",5,0.08,0.18,0.991877,0.97,96.9521706410472
"55",5,0.08,0.2,0.996916,0.99,94.7383995142579
"56",5,0.1,0,0.939733,0.64,102.254045422854
"57",5,0.1,0.02,0.873591,0.4,102.256834582783
"58",5,0.1,0.04,0.794373,0.16,102.462036632523
"59",5,0.1,0.06,0.723042,0.03,102.363788921963
"60",5,0.1,0.08,0.695619,0.02,102.213608513578
"61",5,0.1,0.1,0.743246,0.08,101.209544882073
"62",5,0.1,0.12,0.825886,0.19,100.930101738698
"63",5,0.1,0.14,0.902877,0.45,100.06328823104
"64",5,0.1,0.16,0.950169,0.71,98.5684427635555
"65",5,0.1,0.18,0.97795,0.87,96.9521706410472
"66",5,0.1,0.2,0.990764,0.96,94.7383995142579
"67",5,0.12,0,0.976172,0.81,102.254045422854
"68",5,0.12,0.02,0.942008,0.67,102.256834582783
"69",5,0.12,0.04,0.877259,0.41,102.462036632523
"70",5,0.12,0.06,0.798443,0.16,102.363788921963
"71",5,0.12,0.08,0.725252,0.03,102.213608513578
"72",5,0.12,0.1,0.695557,0.02,101.209544882073
"73",5,0.12,0.12,0.738942,0.08,100.930101738698
"74",5,0.12,0.14,0.81988,0.17,100.06328823104
"75",5,0.12,0.16,0.898415,0.43,98.5684427635555
"76",5,0.12,0.18,0.946702,0.68,96.9521706410472
"77",5,0.12,0.2,0.975377,0.86,94.7383995142579
"78",5,0.14,0,0.992026,0.98,102.254045422854
"79",5,0.14,0.02,0.977374,0.81,102.256834582783
"80",5,0.14,0.04,0.944152,0.68,102.462036632523
"81",5,0.14,0.06,0.881863,0.43,102.363788921963
